tmass_id,sobject_id,dr3_source_id,flag_sp,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,snr_c2_iraf
08513364+1151449,131217003901376,604918282190043648,41,5860.715,86.01848683984191,3.2140596,0.5125006427067528,-0.18041086,0.09859669655409731,0,41.6645515335
08513980+1142547,131218003001001,604904293480826624,4,5583.2393,179.32360752261008,4.1030607,0.21550819929098164,-0.31667566,0.204408310310247,0,8.36619079177
08515289+1144077,131218003001020,604904641373911296,4,5286.932,214.37602540862036,4.5908446,0.23443487308765404,0.045339584,0.2127866806547102,0,6.95963055569
08512918+1142118,131218003001072,604910207651564160,292,6126.925,199.40068294691608,4.4184065,0.27236787375125016,,,17,5.67849846823
08511682+1145416,131218003001122,604911375882674176,32,5687.1353,118.09460169081906,4.135162,0.19313094398361824,-0.4175148,0.13115276628857492,0,19.015884809
08510885+1157537,131218003001242,604971161827216640,1,5921.5894,126.2646510401917,4.22711,0.2021948701626216,-0.069717884,0.14231585371160005,0,16.9462698699
08505430+1155152,131218003001256,604969340761109760,4,5603.9414,211.8188605292775,4.377222,0.22424850804792762,0.10702515,0.22285133925419517,0,7.17010969887
08511229+1154230,131218003001257,604922267919525504,0,5861.1494,121.00268389646902,4.3125887,0.19191018042911634,-0.05681467,0.13335424653917957,0,17.4569197172
08511872+1155497,131218003001303,604923882827217024,0,5822.3623,119.98274074966677,4.3172045,0.19076703611497187,-0.13485289,0.13646489827212685,0,17.1521633631
08512194+1153089,131218003001313,604921477645534976,6,5384.739,277.529568224521,4.592489,0.2602903127263839,0.28016424,0.31777228292187193,0,4.3222022879
08520052+1152291,131218003001390,604919244262692352,4,5465.1904,288.9762416694435,4.5731177,0.26054152646224615,0.1277709,0.28399117715898337,2,3.85237844625
08513284+1153447,131218003001392,604922817675316096,1804,5745.7,,4.5858507,,,,17,2.76923310545
08512214+1148278,131218003001395,604917629355040896,398,5276.0703,248.94965279641966,4.522596,0.2523063901587358,,,17,2.47183562483
08514742+1147096,140111002602019,604916804721291776,0,5485.133,76.10677453669052,4.1561756,0.18180737842166386,-0.005200386,0.05221085538026644,0,77.071336121
08513449+1143494,140111002602073,604916117526551680,0,5697.1562,77.23109103665516,4.405789,0.18528150863702192,0.24005365,0.05042551635097571,0,66.6462101744
08512319+1139148,140111002602099,604897838145767168,0,5511.757,79.79965433289408,4.4661493,0.18728652312035096,0.07944393,0.05722255811236888,0,53.1994280033
08510697+1141490,140111002602125,604909898413942656,64,5003.601,90.19637178372976,4.2977505,0.2028101962080567,-0.028514862,0.06978204467269467,0,38.2574570631
08510774+1156308,140111002602205,604969581279257088,768,,,,,,,17,29.2061064035
08512161+1149024,140111002602245,604917698074587136,8,5399.169,89.62263386830024,4.5134454,0.1911826929948536,0.01264143,0.07091851821959687,2,39.5887759113
08514992+1156451,140111002602345,604923401790846464,136,5132.774,114.99695577838928,4.2779555,0.23241242877415186,0.32342768,0.09982529932255937,16,15.5441617667
08513904+1153052,140111002602346,604919789722799232,72,5098.485,102.11256253392455,4.320257,0.20086752071380728,0.0487175,0.09532081333138999,0,26.1769470263
08520961+1146462,140112002802004,604906256281593472,266,5974.7017,71.58307914721395,4.330655,0.18157458131549645,,,17,99.6297432702
08515901+1141491,140112002802034,604903370063591424,0,5578.497,80.02691397020483,4.50745,0.18333359262875645,0.13307095,0.0587186970637499,0,52.5725067418
08513954+1145013,140112002802041,604916254965494528,8,5345.3276,82.62146877864055,4.5501823,0.19221810002020867,0.10331392,0.05943164593117281,0,51.4895827449
08515503+1140503,140112002802042,604903026466307840,0,5536.9453,70.3664796821572,4.174061,0.1800986766023654,0.18921232,0.044547780282462514,0,121.51694409
08515389+1139048,140112002802049,604902923387008000,0,5735.6562,73.80678901176698,4.3928328,0.18368826273472105,-0.039640903,0.04813612957257037,0,89.0757811497
08514300+1140595,140112002802053,604898147383383296,10,5794.154,78.02232266310845,4.3738985,0.1927318162566767,0.3823247,0.05617574496253635,0,54.0789036729
08513424+1145535,140112002802061,604916529843405696,64,5238.2207,78.53672289533033,4.2234507,0.1916237924747381,0.15270567,0.05787188867939843,0,56.4007098323
08513257+1142051,140112002802065,604898456621037824,64,5318.233,75.68588708729783,4.1506476,0.18760062144147063,-0.76382065,0.053167868274741,0,88.5124238592
